GeneID	logFC	logCPM	PValue	FDR
ENSMUSG00000026594	-4.165205407227897	8.837789560784842	1.64170867165205e-25	1.3576498685964652e-24
ENSMUSG00000026614	-8.554574451446166	6.421608621467008	4.507167784855581e-25	3.7029476506950755e-24
ENSMUSG00000025932	2.9779661713558645	8.997035499269527	7.813805787426237e-25	6.377892126490117e-24
ENSMUSG00000026095	3.0583159850862827	7.968047255453906	9.49795778712022e-25	7.702537379619429e-24
ENSMUSG00000027520	-4.012095236278062	8.103949824186317	1.3250217379348816e-24	1.0676617465282989e-23
ENSMUSG00000026393	2.0191938941868393	11.357076825354985	1.5411678833943542e-24	1.233915942310002e-23
ENSMUSG00000026459	7.505184461251529	6.731308007038057	1.8543498150879623e-24	1.475264378206056e-23
ENSMUSG00000079550	-5.1079831014118735	6.580566903997709	2.9133888642918772e-24	2.3032262908269746e-23
ENSMUSG00000026456	2.388553437935268	9.940361649406041	5.387944339926968e-24	4.232903772055124e-23
ENSMUSG00000097823	-6.894729899767085	6.456306893678422	7.301580259925477e-24	5.700674774364178e-23
ENSMUSG00000026585	-1.946503364020884	11.408611708759501	2.1663702457105912e-23	1.6809428388013662e-22
ENSMUSG00000066842	-4.174634553152189	8.40193046069782	2.4011399600676338e-23	1.8516766440521568e-22
ENSMUSG00000026062	3.839209065290759	9.127788094507522	2.544198881012615e-23	1.9500353618493032e-22
ENSMUSG00000040113	5.934672999914113	6.779169799403748	3.053931605631134e-23	2.326540623198991e-22
ENSMUSG00000026544	2.6616171011469345	8.298838666148177	3.472965218603572e-23	2.6298296866172834e-22
ENSMUSG00000025938	2.5437036345004134	8.671480389915114	3.7052911095693836e-23	2.7889526495381525e-22
ENSMUSG00000042115	-4.78222399666084	8.508813579769026	1.0389830759397119e-22	7.77381980033463e-22
ENSMUSG00000092085	5.296334898094594	7.194819555538224	1.7825203773379413e-22	1.3258154522566818e-21
ENSMUSG00000004768	-2.6230067417255345	8.573126450084906	1.9416218036647592e-22	1.435658004239178e-21
ENSMUSG00000026576	-3.1879398175343803	13.805102390702785	2.388576863582649e-22	1.755813519019526e-21
ENSMUSG00000033276	-3.999695302041919	6.881807111807099	6.264296925456896e-22	4.578035601918208e-21
ENSMUSG00000026251	8.04655429651716	5.850946180482012	7.07051673678616e-22	5.13736389487873e-21
ENSMUSG00000026466	1.9142882436365962	11.032055683273141	9.955379395641253e-22	7.191903390989112e-21
ENSMUSG00000051344	-2.1640427052388356	9.742626627748328	1.2691421859650986e-21	9.116067015760737e-21
ENSMUSG00000026514	-6.959884269011001	6.520361912082087	1.582770101158767e-21	1.1304216006571422e-20
ENSMUSG00000073490	6.245760508811226	7.749135410338042	2.4847099933505747e-21	1.7645652325659165e-20
ENSMUSG00000056569	10.328330590046498	8.02503366230908	3.241464868916438e-21	2.2890569327123385e-20
ENSMUSG00000101586	-4.469698587001285	6.595605158277895	4.611895199568884e-21	3.238632550758708e-20
ENSMUSG00000051985	4.591035161974654	8.262258065123733	4.71382103651276e-21	3.291818357164744e-20
ENSMUSG00000026043	4.326228299289174	10.391286282950752	4.949526185449049e-21	3.437322881275942e-20
ENSMUSG00000026102	-2.6597132995240838	9.346749341465742	5.070441912779463e-21	3.5019480683317505e-20
ENSMUSG00000025912	-4.519088764762839	6.945084432571756	5.1090349748907984e-21	3.5093207450479416e-20
ENSMUSG00000045648	-6.561196910791295	6.157870786322136	5.176000835800502e-21	3.535996223152843e-20
ENSMUSG00000062590	-2.598003575091327	7.7923728333365245	5.474468546851571e-21	3.7196794396715815e-20
ENSMUSG00000103329	-6.20965974693075	6.543227963708738	7.305705401424947e-21	4.937242843866214e-20
ENSMUSG00000025978	-2.88955241076646	8.226543601896907	1.2215325364604811e-20	8.211050258453609e-20
ENSMUSG00000034220	1.8515560091697105	12.027739130129046	1.286385505829033e-20	8.60099245120795e-20
ENSMUSG00000058076	1.7854749813872597	11.445864365830449	1.604651195202045e-20	1.0672203980788204e-19
ENSMUSG00000079470	-3.1616562310985104	7.561663078080217	1.6790230337791946e-20	1.1108062912949723e-19
ENSMUSG00000070532	-5.419357579901406	6.253300709573621	1.7806305046880958e-20	1.1718599708863542e-19
ENSMUSG00000026421	-2.964654928042977	11.036397609624563	2.4889600092183735e-20	1.6294910060351538e-19
ENSMUSG00000026426	-2.214098429810821	10.513542423942978	3.595698427097828e-20	2.341861618063197e-19
ENSMUSG00000055214	-3.2529939573666677	9.017600666185569	3.9699628778913555e-20	2.572290380159502e-19
ENSMUSG00000025933	-3.4698170776333	6.970790634526117	6.096971584635784e-20	3.930201683019067e-19
ENSMUSG00000025911	2.723754801911693	8.796230349997403	6.785912258280477e-20	4.351985565642123e-19
ENSMUSG00000038174	-3.053864889329242	10.590680370326771	6.826624310561151e-20	4.355871450951963e-19
ENSMUSG00000032883	-2.3483933344207193	10.847472046570505	8.713056650472051e-20	5.507528523713788e-19
ENSMUSG00000101693	-5.699756051850798	6.065306359136646	8.719158124256515e-20	5.507528523713788e-19
ENSMUSG00000060424	-5.730226218305926	6.081456925393954	1.7854005286517657e-19	1.1221242322576347e-18
ENSMUSG00000026202	1.8306263753309593	13.784626703859447	1.8096909823564863e-19	1.1317321218020415e-18
ENSMUSG00000026176	1.8867149715476101	10.165303854575846	5.940859023116677e-19	3.696861283196862e-18
ENSMUSG00000041040	-2.399373962098689	9.9367348008658	1.2546567847620275e-18	7.76898314505354e-18
ENSMUSG00000044340	-2.155886958885966	10.562145979445202	1.3226420796047718e-18	8.149809284623521e-18
ENSMUSG00000025959	-2.1638989090770218	8.659894253569798	1.4636286274429263e-18	8.974542364369554e-18
ENSMUSG00000045954	2.2890635507199892	9.166547748555843	1.591332836118219e-18	9.68513298108922e-18
ENSMUSG00000040596	-1.869611001948509	10.39095452839674	1.5949264336399907e-18	9.68513298108922e-18
ENSMUSG00000041439	-3.029230942752599	10.26604385119252	2.0234558042962897e-18	1.2228288201925174e-17
ENSMUSG00000026027	2.1113460872233487	10.18979350841982	2.2252078182604634e-18	1.3383187691643075e-17
ENSMUSG00000026586	2.4305648130145334	9.231491067085894	2.2575571587399116e-18	1.3513092135886043e-17
ENSMUSG00000041879	-1.8548148745868136	11.215211791932228	3.0002413513838134e-18	1.7873475728386037e-17
ENSMUSG00000028033	2.5520873357879963	9.312451369605839	4.986413788268773e-18	2.956567043327287e-17
ENSMUSG00000070565	-2.1577042588291753	9.574080355937326	6.217066570097877e-18	3.6689449195366343e-17
ENSMUSG00000048402	-3.2510981412583364	7.168016813478042	9.546549436767134e-18	5.607482542998265e-17
ENSMUSG00000039377	4.014000957357974	6.596118334712798	1.1837228381965035e-17	6.920649337734907e-17
ENSMUSG00000026270	-2.330810795625399	7.926279156955686	1.633675161601237e-17	9.507081843207199e-17
ENSMUSG00000026478	1.9940837370246542	10.815348600947122	1.8114142245156256e-17	1.0445793806119602e-16
ENSMUSG00000041907	-5.5146522176087736	5.9041601543008975	1.8116014715465977e-17	1.0445793806119602e-16
ENSMUSG00000085653	3.9476598281423523	6.7829248301157525	2.587257366770036e-17	1.4822244563914321e-16
ENSMUSG00000006542	4.628556935075827	10.005521439014597	2.5941875927296346e-17	1.4822244563914321e-16
ENSMUSG00000025905	-7.660625965651672	5.630046410779137	2.8413453915524036e-17	1.6160955462359148e-16
ENSMUSG00000026526	1.6119446576449368	11.35565868730488	3.762646247434552e-17	2.130471321182537e-16
ENSMUSG00000044783	-2.3348434088544603	8.766399639921064	6.061279229044571e-17	3.413409900176449e-16
ENSMUSG00000026275	-1.7617493665556705	10.142015969679834	6.082767045660498e-17	3.413409900176449e-16
ENSMUSG00000026615	1.6378520656658224	11.980367538661575	6.338288912210366e-17	3.5409907389548577e-16
ENSMUSG00000026384	-2.0882970300451027	10.963077514316739	1.0404068649678541e-16	5.786687740108816e-16
ENSMUSG00000041801	2.2184853569305902	10.126075128031314	1.8745890422410564e-16	1.0380433595141005e-15
ENSMUSG00000013593	1.8090093321112668	12.760149008873107	2.100221814734656e-16	1.1578854478602907e-15
ENSMUSG00000104154	-6.338260628051941	5.970236233038638	2.552065537681617e-16	1.4008499479763287e-15
ENSMUSG00000026411	-2.4761006865307422	9.076071152117931	3.279722038433604e-16	1.792439392309148e-15
ENSMUSG00000048126	3.1560132970776302	9.183333132541126	3.550021808912465e-16	1.9317651142004196e-15
ENSMUSG00000026600	-2.274733076486943	8.579976786450963	4.793782822639618e-16	2.597321124162931e-15
ENSMUSG00000041642	-4.039353796478674	9.402920314131011	8.864225163675101e-16	4.782116322205838e-15
ENSMUSG00000060568	-3.2518332807485577	8.942222302914614	9.909635530415658e-16	5.3232529323643086e-15
ENSMUSG00000034088	1.4278584671099426	12.97763088007531	1.037169326151502e-15	5.54775252328697e-15
ENSMUSG00000070644	-6.051149690277103	5.703233876096971	1.172795433554493e-15	6.246626525330499e-15
ENSMUSG00000033722	-2.823192807028874	7.028901824622006	1.1878025855408734e-15	6.299864346096531e-15
ENSMUSG00000038034	-3.2067172360068064	10.410980535364288	1.329732963071572e-15	7.023001405802378e-15
ENSMUSG00000042066	-1.6792119779473247	11.416738794938162	1.7679068879700902e-15	9.298154636729722e-15
ENSMUSG00000038608	-2.825403029531396	8.712002560946766	2.5180598692408272e-15	1.3188338565148832e-14
ENSMUSG00000038855	-1.792191231550616	10.384748677594473	2.7515208612483326e-15	1.435129345472678e-14
ENSMUSG00000038305	-2.831321939534498	7.124071969619016	3.0492103786050798e-15	1.5838253908704898e-14
ENSMUSG00000037138	-2.9732364785984453	9.094748224823132	3.490485821301623e-15	1.8018059462373882e-14
ENSMUSG00000026475	-3.5621089616837205	7.007493788415863	3.4975389887185576e-15	1.8018059462373882e-14
ENSMUSG00000015484	-8.021253604721728	5.939485867213133	5.200358412863824e-15	2.668102255089725e-14
ENSMUSG00000038496	-4.962223462289574	5.862335874015027	5.7967268242244515e-15	2.961986023597616e-14
ENSMUSG00000026696	-1.7806468322756002	9.677542984565186	6.231016778409953e-15	3.171007324073405e-14
ENSMUSG00000042197	-1.7948695929851015	9.482029350538722	7.149340985515466e-15	3.623678072093928e-14
ENSMUSG00000090486	-5.352307254359187	5.7844246955683625	7.425481645512624e-15	3.7485262764696254e-14
ENSMUSG00000040181	3.1910795247112063	8.935925330750573	8.278782461369414e-15	4.162571821576541e-14
ENSMUSG00000091476	-3.9004799997671182	6.415474791630154	9.701108516700895e-15	4.858284225296026e-14
ENSMUSG00000063659	-1.622031642280885	12.185731349160875	1.2122051495206259e-14	6.031621437675568e-14
ENSMUSG00000048960	-2.4779586898679167	9.90443737305244	1.2140017690786942e-14	6.031621437675568e-14
ENSMUSG00000078185	-2.565538524294539	7.704938027869139	1.2630619322567652e-14	6.250664759239189e-14
ENSMUSG00000026087	1.6598704828622957	9.747816196929842	1.4863144117774375e-14	7.326655747467604e-14
ENSMUSG00000033007	-8.377504136548843	6.275167998581544	1.5922935989096565e-14	7.818410366521242e-14
ENSMUSG00000038349	-2.256196175872406	9.470327850729564	1.7566495142181713e-14	8.591861631798604e-14
ENSMUSG00000026565	-1.8185749519432133	9.18032510261297	2.1328832820384388e-14	1.039160575783844e-13
ENSMUSG00000026380	4.640498528800186	9.273159865470173	2.8082672309472276e-14	1.3608015999432973e-13
ENSMUSG00000026058	-4.545444616659125	5.8222946277983825	2.8147049799940914e-14	1.3608015999432973e-13
ENSMUSG00000020423	2.643748798623383	9.668217119165847	2.902744988039437e-14	1.3979886781477288e-13
ENSMUSG00000055067	-1.882163509151468	8.686839487876316	3.388902740140386e-14	1.6258972306704068e-13
ENSMUSG00000026220	-4.395880885579364	5.984916731651221	3.589679015854066e-14	1.7156754840032548e-13
ENSMUSG00000102302	-3.087878675593639	6.7591403889891275	4.6973242557506e-14	2.2365668899539789e-13
ENSMUSG00000026247	-5.823988243154219	7.4366317100552015	5.420154459075672e-14	2.570994020776649e-13
ENSMUSG00000102717	7.684099226127013	5.560438172484518	5.6263787517994007e-14	2.658781237222499e-13
ENSMUSG00000026622	-5.144015305388243	7.439636791797684	5.831919431850051e-14	2.745589035893451e-13
